,user_id,income_bureau,occupation_bureau,age_bureau,no_of_accounts,no_of_writeoffs,most_severe_served_status_within_24_months,bureau_score,number_of_delinquent_accounts
67,3281,50000.0,,25.0,41.0,2.0,WOF,517.0,10.0
68,3344,15001.0,,30.0,5.0,0.0,Sub,639.0,3.0
69,3345,,SELF EMPLOYED PROFESSIONAL,25.0,20.0,0.0,Sub,573.0,2.0
70,2195,,,,,,,,
71,3350,15001.0,,29.0,6.0,0.0,Non-Delnqt,755.0,0.0
72,3400,,,35.0,5.0,0.0,540+,575.0,2.0
73,3431,,,,,,,,
74,1765,,,,,,,,
75,3585,,,28.0,4.0,0.0,Non-Delnqt,725.0,0.0
76,3668,,SALARIED,41.0,15.0,2.0,WOF,652.0,5.0
77,3679,12000.0,,25.0,26.0,0.0,Loss,552.0,7.0
78,2896,,,,,,,,
79,3682,30000.0,,25.0,23.0,0.0,720+,661.0,2.0
80,3705,,,50.0,5.0,0.0,Non-Delnqt,780.0,0.0
81,3767,,,,,,,,
82,3803,,,,,,,,
83,3674,,,,,,,,
84,3887,50000.0,,21.0,11.0,0.0,Std,662.0,1.0
85,3910,,,,,,,,
86,3807,,,31.0,11.0,0.0,Non-Delnqt,726.0,0.0
87,4230,,,,,,,,
88,4353,,,32.0,24.0,0.0,Set,541.0,3.0
89,4384,300000000.0,,34.0,20.0,0.0,120+,552.0,6.0
90,4430,,SELF EMPLOYED,32.0,2.0,0.0,30+,749.0,0.0
91,4442,,,26.0,9.0,0.0,Non-Delnqt,755.0,0.0
92,4491,30000.0,,32.0,17.0,0.0,Res,601.0,4.0
93,4499,,,36.0,1.0,0.0,,672.0,0.0
94,4524,,,,,,,,
95,4532,,,,,,,,
96,4603,,,,,,,,
97,4598,,,24.0,3.0,0.0,Non-Delnqt,724.0,0.0
98,4640,,,27.0,27.0,3.0,WOF,541.0,11.0
99,2969,,,,,,,,
100,4706,,,19.0,1.0,0.0,Non-Delnqt,755.0,0.0
101,1327,,,,,,,,
102,5027,,,,,,,,
103,5056,1500000.0,,45.0,17.0,0.0,01+,742.0,0.0
104,5001,,,,,,,,
105,4926,,,30.0,6.0,0.0,01+,646.0,1.0
106,5178,12500.0,,24.0,32.0,1.0,WOF,639.0,2.0
107,5193,,,24.0,2.0,0.0,Non-Delnqt,771.0,0.0
108,5208,700000000.0,,25.0,34.0,0.0,540+,711.0,0.0
109,5203,,,,,,,,
110,5247,36000.0,,30.0,7.0,0.0,Non-Delnqt,715.0,0.0
111,5220,,,,,,,,
112,5341,,,26.0,1.0,0.0,Non-Delnqt,755.0,0.0
113,5355,57900.0,,44.0,28.0,0.0,Sub,566.0,3.0
114,5496,,,,,,,,
115,5255,,,21.0,13.0,0.0,Loss,642.0,2.0
116,5511,20000.0,,40.0,12.0,0.0,WOF,528.0,4.0
117,5540,,,,,,,,
118,5058,35000.0,,51.0,15.0,0.0,120+,676.0,0.0
119,5542,,,,,,,,
120,4418,720876000.0,,36.0,12.0,0.0,Std,777.0,0.0
121,5639,50000.0,,30.0,38.0,0.0,01+,642.0,1.0
122,5698,41000.0,SALARIED,29.0,3.0,0.0,Std,681.0,1.0
123,5723,,,23.0,217.0,0.0,01+,755.0,0.0
124,5967,50000.0,SALARIED,26.0,6.0,0.0,Res,681.0,1.0
125,5980,,,,,,,,
126,6088,,,26.0,2.0,0.0,01+,713.0,0.0
127,6131,,,,,,,,
128,6190,,,41.0,17.0,0.0,Non-Delnqt,752.0,0.0
129,6221,,,39.0,6.0,1.0,WOF,690.0,1.0
130,6293,80000.0,,53.0,20.0,2.0,WOF,512.0,2.0
131,6272,,,,,,,,
132,6439,17000.0,,27.0,14.0,1.0,WOF,552.0,5.0
133,6475,,,,,,,,
134,6510,23000.0,,29.0,17.0,0.0,01+,725.0,0.0
135,6513,,,,,,,,
136,6522,12500.0,,28.0,48.0,0.0,01+,656.0,3.0
137,6491,,SALARIED,24.0,10.0,0.0,01+,728.0,0.0
138,6546,,,,,,,,
139,5767,49446.0,SALARIED,28.0,7.0,0.0,30+,656.0,1.0
140,6640,15847.0,,39.0,11.0,3.0,WOF,656.0,4.0
141,6615,,,,,,,,
142,6659,,,30.0,5.0,0.0,01+,679.0,2.0
143,6669,10000.0,,26.0,43.0,1.0,720+,614.0,9.0
144,6769,,,30.0,3.0,0.0,120+,583.0,1.0
145,6833,165000.0,,31.0,50.0,1.0,WOF,653.0,2.0
146,6862,800000.0,,36.0,20.0,0.0,Std,729.0,0.0
147,6867,50000.0,,57.0,5.0,0.0,Non-Delnqt,762.0,0.0
148,6874,,,27.0,3.0,0.0,Non-Delnqt,760.0,0.0
149,6718,,,,,,,,
150,6484,,,,,,,,
151,6949,15000.0,SALARIED,23.0,95.0,0.0,180+,664.0,0.0
152,7107,350000000.0,,22.0,7.0,0.0,Non-Delnqt,755.0,0.0
153,1858,,,,,,,,
154,6893,,,,,,,,
155,7161,50000.0,,31.0,11.0,0.0,Non-Delnqt,669.0,0.0
156,7059,144000.0,,40.0,8.0,1.0,Sub,541.0,1.0
157,7247,,,28.0,6.0,0.0,Non-Delnqt,728.0,0.0
158,5241,,,,,,,,
159,7189,,,,,,,,
160,6733,,,,,,,,
161,6351,,,41.0,6.0,0.0,Std,736.0,0.0
162,7129,35000.0,SELF EMPLOYED,32.0,20.0,3.0,WOF,614.0,5.0
163,7425,,,26.0,13.0,0.0,Non-Delnqt,757.0,0.0
164,7628,,,,,,,,
165,7698,,,41.0,13.0,0.0,30+,706.0,0.0
166,7704,75000.0,,35.0,42.0,2.0,WOF,565.0,6.0
167,7746,15001.0,,49.0,6.0,2.0,30+,601.0,1.0
168,7773,,,37.0,2.0,0.0,Non-Delnqt,758.0,0.0
169,7724,,,,,,,,
170,7830,,,,,,,,
171,5573,,,18.0,7.0,0.0,Non-Delnqt,755.0,0.0
172,7904,,,21.0,53.0,0.0,01+,695.0,2.0
173,6663,,,,,,,,
174,7909,15001.0,,20.0,2.0,1.0,WOF,700.0,1.0
175,7959,,,,,,,,
176,7951,,,,,,,,
177,8017,171228.0,SALARIED,23.0,68.0,1.0,WOF,568.0,4.0
178,7204,50000.0,,35.0,18.0,0.0,30+,719.0,0.0
179,7937,,SALARIED,21.0,40.0,0.0,30+,674.0,0.0
180,8094,379500.0,,35.0,16.0,0.0,01+,724.0,0.0
181,7936,,,,,,,,
182,8164,1339420.0,,40.0,43.0,3.0,WOF,652.0,2.0
183,8172,,,32.0,14.0,3.0,WOF,652.0,3.0
184,7519,153756.0,,60.0,21.0,0.0,Non-Delnqt,729.0,0.0
185,8080,,,29.0,6.0,0.0,Res,545.0,2.0
186,8189,90000.0,,37.0,81.0,0.0,Sub,676.0,0.0
187,8261,,,,,,,,
188,8010,,,,,,,,
189,8306,10000.0,,24.0,125.0,1.0,WOF,576.0,3.0
190,7576,1.0,,23.0,21.0,0.0,60+,637.0,2.0
191,7652,,,23.0,6.0,0.0,720+,705.0,0.0
192,7635,,,30.0,4.0,0.0,Non-Delnqt,696.0,0.0
193,8474,25000000.0,,27.0,11.0,0.0,Non-Delnqt,721.0,0.0
194,8475,,,,,,,,
195,8330,,,,,,,,
196,8772,15001.0,,30.0,8.0,0.0,60+,676.0,0.0
197,8775,,,30.0,12.0,1.0,WOF,681.0,2.0
198,8746,,,,,,,,
199,8818,,,,,,,,
200,8510,,,,,,,,
201,8844,17000.0,,34.0,16.0,4.0,WOF,533.0,7.0
202,7565,842472.0,,33.0,18.0,0.0,01+,721.0,0.0
203,8919,,,,,,,,
204,8938,,,40.0,1.0,0.0,,755.0,0.0
205,9035,,,,,,,,
206,9055,,,24.0,8.0,0.0,Non-Delnqt,715.0,0.0
207,9078,,SALARIED,39.0,8.0,1.0,WOF,718.0,1.0
208,9121,480000.0,SALARIED,32.0,21.0,0.0,30+,701.0,0.0
209,5937,50000.0,,30.0,25.0,0.0,01+,714.0,1.0
210,9068,82611.0,,34.0,26.0,2.0,WOF,627.0,2.0
211,9200,,,31.0,1.0,1.0,WOF,497.0,1.0
212,9207,,,28.0,1.0,0.0,Non-Delnqt,754.0,0.0
213,9249,26000.0,,29.0,28.0,3.0,WOF,633.0,3.0
214,9256,,,31.0,4.0,0.0,Non-Delnqt,760.0,0.0
215,9290,525600.0,SALARIED,39.0,19.0,0.0,30+,656.0,1.0
216,9300,61379.0,SALARIED,32.0,11.0,0.0,Non-Delnqt,796.0,0.0
217,9328,,,24.0,5.0,0.0,Non-Delnqt,759.0,0.0
218,9412,600000.0,,26.0,12.0,0.0,01+,718.0,1.0
219,9397,1.0,SALARIED,35.0,20.0,4.0,WOF,627.0,6.0
220,9408,,,,,,,,
221,9400,360000.0,,30.0,17.0,0.0,Non-Delnqt,727.0,0.0
222,8195,,,32.0,18.0,8.0,WOF,652.0,8.0
223,9388,,,31.0,55.0,0.0,90+,674.0,0.0
224,9442,,,,,,,,
225,9453,,,35.0,33.0,0.0,Std,714.0,0.0
226,9457,,,,,,,,
227,9114,12000.0,,24.0,3.0,0.0,Non-Delnqt,741.0,0.0
228,9495,,,34.0,3.0,0.0,30+,662.0,1.0
229,9473,40000.0,,28.0,95.0,0.0,01+,721.0,0.0
230,8988,,,,,,,,
231,9508,400000.0,,29.0,24.0,0.0,Std,710.0,0.0
232,9599,,,33.0,6.0,0.0,Non-Delnqt,760.0,0.0
233,9632,50000.0,SELF EMPLOYED,33.0,28.0,0.0,01+,760.0,1.0
234,8312,,,28.0,1.0,0.0,Non-Delnqt,771.0,0.0
235,9664,,,34.0,1.0,0.0,01+,726.0,0.0
236,9669,,,32.0,8.0,0.0,60+,702.0,0.0
237,9737,,,,,,,,
238,9760,,,,,,,,
239,9220,37000.0,,24.0,7.0,0.0,Std,670.0,0.0
240,5891,,,37.0,1.0,0.0,Std,758.0,0.0
241,9815,,,35.0,12.0,4.0,WOF,605.0,5.0
242,9682,,,30.0,42.0,0.0,Set,681.0,1.0
243,9864,,,29.0,1.0,0.0,,722.0,0.0
244,9816,,,21.0,9.0,0.0,Sub,633.0,1.0
245,9911,,,,,,,,
246,9895,,,27.0,4.0,0.0,Std,647.0,1.0
247,9975,,,29.0,24.0,0.0,01+,670.0,1.0
248,9992,,,27.0,1.0,0.0,Non-Delnqt,6.0,0.0
249,9454,,,36.0,12.0,0.0,Std,760.0,0.0
250,9969,,,,,,,,
251,9974,,,,,,,,
252,10004,,,20.0,4.0,0.0,Non-Delnqt,755.0,0.0
253,10019,,,,,,,,
254,10020,,,39.0,6.0,1.0,WOF,651.0,2.0
255,10025,15001.0,,26.0,51.0,0.0,Sub,627.0,2.0
256,10060,50000.0,SELF EMPLOYED PROFESSIONAL,36.0,17.0,0.0,Std,726.0,0.0
257,10068,,,,,,,,
258,10112,120000.0,,34.0,47.0,1.0,WOF,518.0,9.0
259,10117,,,30.0,7.0,1.0,WOF,681.0,1.0
260,10127,,,,,,,,
261,10157,,,31.0,2.0,0.0,Non-Delnqt,585.0,0.0
262,10148,200000.0,,23.0,24.0,0.0,360+,687.0,3.0
263,10160,,,44.0,4.0,0.0,Non-Delnqt,762.0,0.0
264,10183,,,,,,,,
265,10190,,,,,,,,
266,9577,,SALARIED,23.0,10.0,0.0,Non-Delnqt,722.0,0.0
267,10172,,,25.0,9.0,1.0,WOF,552.0,1.0
268,10087,250000.0,,45.0,5.0,0.0,Sub,700.0,0.0
269,10105,,,34.0,2.0,0.0,Non-Delnqt,747.0,0.0
270,10284,,,,,,,,
271,10330,,,23.0,8.0,0.0,Dbt,700.0,0.0
272,10341,,,28.0,2.0,0.0,Non-Delnqt,755.0,0.0
273,8770,,,41.0,11.0,0.0,60+,669.0,1.0
274,10366,,,27.0,4.0,0.0,60+,687.0,2.0
275,10420,,,,,,,,
276,10425,,,,,,,,
277,10428,,,,,,,,
278,10484,,,,,,,,
279,10501,,,31.0,14.0,0.0,Non-Delnqt,760.0,0.0
280,10498,530244.0,SALARIED,25.0,18.0,0.0,WOF,652.0,0.0
281,10517,,SALARIED,37.0,6.0,0.0,Non-Delnqt,760.0,0.0
282,10520,,,,,,,,
283,10526,300000.0,,41.0,82.0,4.0,WOF,520.0,8.0
284,9820,,,,,,,,
285,10560,,,,,,,,
286,8426,,,,,,,,
287,10588,,,,,,,,
288,10607,,,52.0,18.0,0.0,Non-Delnqt,750.0,0.0
289,10632,21200.0,,28.0,8.0,0.0,WOF,666.0,0.0
290,10640,,,,,,,,
291,10642,,,21.0,80.0,0.0,01+,713.0,0.0
292,10644,16000.0,SALARIED,25.0,24.0,0.0,720+,555.0,2.0
293,10679,,,,,,,,
294,10510,,,20.0,15.0,0.0,Sub,633.0,2.0
295,10709,,SALARIED,31.0,42.0,0.0,60+,667.0,4.0
296,10736,,,,,,,,
297,10502,,,24.0,8.0,0.0,720+,551.0,1.0
298,10812,,,,,,,,
299,10811,,,,,,,,
300,10818,,SALARIED,28.0,2.0,1.0,WOF,512.0,1.0
301,10896,23000.0,,27.0,37.0,0.0,SF,541.0,6.0
302,10934,23000.0,,36.0,18.0,1.0,WOF,694.0,2.0
303,10951,7000.0,SALARIED,35.0,3.0,1.0,WOF,517.0,1.0
304,10704,,,,,,,,
305,11019,,,,,,,,
306,11014,50000.0,,47.0,29.0,0.0,720+,721.0,1.0
307,10449,40000.0,,28.0,22.0,5.0,WOF,543.0,9.0
308,10922,16000.0,,28.0,81.0,2.0,WOF,604.0,3.0
309,11198,,,,,,,,
310,11224,,,,,,,,
311,11244,30000.0,,28.0,276.0,0.0,01+,696.0,1.0
312,11344,307128.0,,38.0,29.0,0.0,01+,722.0,0.0
313,11411,,,35.0,11.0,0.0,30+,706.0,0.0
314,11367,548220.0,,31.0,2.0,0.0,30+,739.0,0.0
315,11440,,,,,,,,
316,11443,,,,,,,,
317,11449,18000.0,,21.0,2.0,0.0,Non-Delnqt,741.0,0.0
318,11507,,,,,,,,
319,11509,,,35.0,13.0,0.0,Loss,562.0,4.0
320,11372,,,,,,,,
321,11469,,,,,,,,
322,11325,,,,,,,,
323,11520,,,29.0,3.0,0.0,Non-Delnqt,755.0,0.0
324,10409,,,,,,,,
325,5465,18000.0,,30.0,26.0,4.0,WOF,497.0,10.0
326,11559,45000.0,,35.0,32.0,0.0,30+,710.0,1.0
327,11556,,,,,,,,
328,11578,,,,,,,,
329,11580,,,,,,,,
330,11589,,,,,,,,
331,11588,,,20.0,1.0,0.0,180+,575.0,1.0
332,11528,30000.0,SALARIED,39.0,30.0,2.0,WOF,586.0,3.0
333,11571,,,,,,,,
334,11442,,,34.0,30.0,0.0,Sub,696.0,0.0
335,11610,,,,,,,,
336,11624,31778.0,SALARIED,32.0,9.0,0.0,Non-Delnqt,747.0,0.0
337,11614,,,,,,,,
338,11625,,,,,,,,
339,11632,,,,,,,,
340,11638,,,,,,,,
341,11618,,,,,,,,
342,11657,,,,,,,,
343,11661,,,,,,,,
344,10722,384650000.0,,34.0,118.0,12.0,WOF,549.0,22.0
345,11666,120000.0,,23.0,1.0,0.0,Non-Delnqt,767.0,0.0
346,11636,,,,,,,,
347,11467,20000.0,,31.0,51.0,3.0,WOF,548.0,6.0
348,11584,,,,,,,,
349,11719,15000.0,,56.0,9.0,1.0,WOF,659.0,0.0
350,10735,,,,,,,,
351,11720,,,,,,,,
352,10458,1.0,,30.0,22.0,0.0,Std,726.0,0.0
353,11680,,,,,,,,
354,11739,,,,,,,,
355,11765,,,,,,,,
356,11801,15000.0,,25.0,40.0,2.0,WOF,551.0,8.0
357,11612,,,,,,,,
358,11716,,,,,,,,
359,11833,50000.0,,32.0,142.0,1.0,30+,642.0,0.0
360,11841,,,,,,,,
361,11847,,,,,,,,
362,11869,16769.0,,31.0,41.0,1.0,WOF,570.0,3.0
363,11872,200000000.0,,27.0,8.0,0.0,Non-Delnqt,725.0,0.0
364,11871,1.0,,37.0,49.0,6.0,WOF,652.0,7.0
365,11763,,,,,,,,
366,10471,,,,,,,,
367,11769,,,,,,,,
368,11850,,,,,,,,
369,11898,,,,,,,,
370,11772,,,,,,,,
371,11928,70000.0,,41.0,23.0,2.0,WOF,687.0,0.0
372,11857,,,,,,,,
373,11942,,,,,,,,
374,3327,,,,,,,,
375,11957,56000.0,SALARIED,31.0,12.0,0.0,Non-Delnqt,678.0,0.0
376,11951,,,,,,,,
377,10697,,,,,,,,
378,11982,,,,,,,,
379,12000,,,,,,,,
380,12005,28633.0,SALARIED,46.0,7.0,0.0,Non-Delnqt,789.0,0.0
381,12009,,,,,,,,
382,12026,,,,,,,,
383,12029,,,,,,,,
384,11180,15001.0,,21.0,15.0,0.0,Loss,635.0,1.0
385,12055,,,,,,,,
386,12065,,,,,,,,
387,12070,,,,,,,,
388,12071,,,,,,,,
389,12079,,,,,,,,
390,12101,,,,,,,,
391,12111,,,,,,,,
392,12114,,,,,,,,
393,11925,,,,,,,,
394,11353,,,,,,,,
395,12043,,,,,,,,
396,12136,1.0,,24.0,3.0,0.0,Non-Delnqt,755.0,0.0
397,6256,350000.0,,33.0,133.0,4.0,WOF,638.0,3.0
398,12148,,,,,,,,
399,12080,,,,,,,,
400,12158,500.0,SALARIED,45.0,12.0,1.0,120+,528.0,1.0
401,12161,,,,,,,,
402,10711,,,,,,,,
403,12187,,,22.0,2.0,0.0,Non-Delnqt,755.0,0.0
404,12198,,,,,,,,
405,11931,,,,,,,,
406,12226,40000.0,,24.0,11.0,0.0,SF,647.0,0.0
407,12230,,,,,,,,
408,12173,,,,,,,,
409,11761,,,,,,,,
410,12242,25000.0,,37.0,53.0,2.0,WOF,534.0,11.0
411,12263,,,24.0,4.0,0.0,Non-Delnqt,755.0,0.0
412,12273,,,,,,,,
413,12141,,,,,,,,
414,12296,,,,,,,,
415,12302,,,23.0,137.0,0.0,SF,633.0,0.0
416,12261,,,25.0,3.0,0.0,Non-Delnqt,759.0,0.0
417,12291,,,,,,,,
418,12329,,,,,,,,
419,11859,,,,,,,,
420,12344,,,,,,,,
421,12259,42000000.0,,36.0,31.0,0.0,Sub,540.0,1.0
422,11941,,,38.0,2.0,0.0,Non-Delnqt,742.0,0.0
423,12374,,,21.0,4.0,0.0,Non-Delnqt,6.0,0.0
424,12385,2000000.0,,33.0,8.0,0.0,Non-Delnqt,726.0,0.0
425,12386,,,,,,,,
426,11758,,,,,,,,
427,12411,,,,,,,,
428,12436,,,,,,,,
429,12413,,,,,,,,
430,12446,,,,,,,,
431,12441,,,,,,,,
432,12472,,,,,,,,
433,11789,,,,,,,,
434,12497,,,,,,,,
435,12338,,,19.0,14.0,0.0,01+,1.0,1.0
436,12508,,,23.0,7.0,0.0,Non-Delnqt,725.0,0.0
437,12498,,,,,,,,
438,12515,20000.0,,20.0,7.0,0.0,Std,755.0,0.0
439,12146,,,,,,,,
440,11669,,,,,,,,
441,12521,,,,,,,,
442,12537,,,,,,,,
443,12406,15001.0,,23.0,5.0,0.0,Non-Delnqt,696.0,0.0
444,12545,115000.0,,44.0,13.0,0.0,Std,715.0,0.0
445,12554,,,,,,,,
446,12438,,,19.0,1.0,0.0,Non-Delnqt,767.0,0.0
447,12563,,,,,,,,
448,12584,,,,,,,,
449,12474,15000.0,,58.0,10.0,0.0,Std,673.0,0.0
450,12590,,,,,,,,
451,11280,,,,,,,,
452,12361,492370.0,,31.0,48.0,3.0,WOF,652.0,4.0
453,12602,50000.0,,21.0,9.0,0.0,Non-Delnqt,755.0,0.0
454,12598,,,,,,,,
455,12614,,,,,,,,
456,12615,,,,,,,,
457,11653,,,,,,,,
458,12286,,,,,,,,
459,12624,,,,,,,,
460,12644,,,21.0,2.0,0.0,Non-Delnqt,755.0,0.0
461,12617,,,31.0,18.0,0.0,Sub,622.0,0.0
462,12661,,,,,,,,
463,12665,,,,,,,,
464,12077,,,,,,,,
465,12647,,,,,,,,
466,11663,,,,,,,,
467,10708,,,,,,,,
468,12677,38075.0,SALARIED,24.0,7.0,0.0,Non-Delnqt,742.0,0.0
469,12703,,,,,,,,
470,12714,,,,,,,,
471,12721,,,,,,,,
472,12723,,,,,,,,
473,12729,,,34.0,15.0,0.0,Res,663.0,1.0
474,12766,2154.0,,34.0,18.0,0.0,Non-Delnqt,715.0,0.0
475,12770,,,18.0,1.0,0.0,Non-Delnqt,755.0,0.0
476,12810,,,26.0,1.0,0.0,Non-Delnqt,6.0,0.0
477,12817,17000.0,,26.0,25.0,0.0,30+,647.0,1.0
478,12044,,,,,,,,
479,12825,,,,,,,,
480,12742,,,,,,,,
481,12636,,,,,,,,
482,12869,,,,,,,,
483,12872,,,,,,,,
484,12820,,,,,,,,
485,12887,,,,,,,,
486,12897,150001.0,,26.0,4.0,0.0,Non-Delnqt,726.0,0.0
487,12918,,,,,,,,
488,12935,50000.0,SELF EMPLOYED,41.0,66.0,2.0,120+,573.0,2.0
489,12933,,,43.0,4.0,0.0,Non-Delnqt,726.0,0.0
490,12940,,,29.0,12.0,0.0,01+,725.0,0.0
491,12954,480000.0,,30.0,21.0,0.0,Std,721.0,0.0
492,12893,,,27.0,1.0,0.0,Std,721.0,0.0
493,12977,,,,,,,,
494,12980,,,,,,,,
495,13006,,SALARIED,30.0,3.0,0.0,Non-Delnqt,746.0,0.0
496,12983,240000.0,SELF EMPLOYED,29.0,22.0,3.0,WOF,552.0,6.0
497,13059,,,,,,,,
498,13064,,,,,,,,
499,13092,,,,,,,,
500,13133,,,,,,,,
501,12904,,,,,,,,
502,13165,50533000.0,,25.0,1.0,0.0,Non-Delnqt,710.0,0.0
503,13177,30000.0,,35.0,36.0,1.0,Non-Delnqt,673.0,0.0
504,13193,,,26.0,4.0,0.0,Loss,635.0,2.0
505,13160,,SALARIED,34.0,3.0,0.0,60+,687.0,0.0
506,13217,,,40.0,9.0,0.0,Std,726.0,0.0
507,13191,,,,,,,,
508,13201,1.0,,33.0,27.0,6.0,WOF,486.0,6.0
509,13233,,,,,,,,
510,13234,,,30.0,6.0,0.0,Non-Delnqt,726.0,0.0
511,13245,,,,,,,,
512,12319,,,,,,,,
513,13254,,,,,,,,
514,13023,,,,,,,,
515,11967,200000.0,,44.0,20.0,0.0,01+,751.0,1.0
516,7495,,,,,,,,
517,13325,,,,,,,,
518,13326,,,,,,,,
519,13304,38000.0,,27.0,29.0,0.0,60+,628.0,4.0
520,13346,,,,,,,,
521,10494,530244.0,SALARIED,25.0,18.0,0.0,WOF,652.0,0.0
522,13355,,,30.0,10.0,0.0,Sub,674.0,0.0
523,13383,,,32.0,4.0,0.0,Sub,687.0,0.0
524,12220,,,,,,,,
525,13399,,,,,,,,
526,13394,,,,,,,,
527,13440,,,,,,,,
528,13393,15000.0,SALARIED,32.0,11.0,0.0,Non-Delnqt,760.0,0.0
529,13465,,,,,,,,
530,13471,21000.0,SALARIED,25.0,24.0,0.0,540+,705.0,0.0
531,13483,,,,,,,,
532,13487,20000.0,,23.0,30.0,1.0,WOF,517.0,14.0
533,13508,,,22.0,6.0,0.0,Non-Delnqt,5.0,0.0
534,13434,180000.0,,24.0,44.0,7.0,WOF,517.0,8.0
535,13197,,,,,,,,
536,12920,15478.0,,26.0,82.0,4.0,WOF,590.0,16.0
537,11336,,,,,,,,
538,13529,,,,,,,,
539,13526,52000.0,SALARIED,33.0,22.0,0.0,WOF,699.0,0.0
540,13532,,,21.0,13.0,2.0,WOF,568.0,6.0
541,13544,,,,,,,,
542,13561,266184.0,,34.0,28.0,0.0,01+,736.0,0.0
543,12577,,,,,,,,
544,13597,25000.0,,26.0,25.0,5.0,WOF,627.0,7.0
545,13604,,,,,,,,
546,13607,,,39.0,7.0,1.0,WOF,627.0,0.0
547,13610,,,44.0,16.0,0.0,Non-Delnqt,765.0,0.0
548,13586,,,,,,,,
549,13513,,,,,,,,
550,10725,23859.0,,36.0,197.0,3.0,WOF,601.0,2.0
551,13623,,,,,,,,
552,13620,,,,,,,,
553,13636,30000.0,,28.0,6.0,1.0,WOF,669.0,2.0
554,13592,1.0,,33.0,204.0,0.0,360+,526.0,4.0
555,10884,,,29.0,2.0,0.0,Non-Delnqt,6.0,0.0
556,10875,,,,,,,,
557,10768,,,,,,,,
558,13646,1200000.0,,29.0,9.0,0.0,01+,718.0,0.0
559,13183,,,,,,,,
560,13543,,,,,,,,
561,13666,,SALARIED,35.0,16.0,0.0,01+,706.0,0.0
